diff_pressure_horizontal,diff_pressure_vertical,diff_pressure_central,time,accel_x,accel_y,accel_z
52.40000153,-0.400000006,272.2166748,4058.226579282705,-4.291875362,2.236948252,9.398056984
45.65000153,-6.966666698,278.5833435,4058.2365792989176,-0.5795947313,-0.3448828161,16.50647545
49.26666641,-6.616666794,281.3166809,4058.24657931513,-2.46208024,-3.348237514,18.14466858
55.68333435,-6.133333206,277.1666565,4058.256579331342,-1.801054716,-3.496728659,19.46612167
60.23333359,-4.916666508,273.1166687,4058.2665793475544,-5.522915363,-1.906435609,19.46612167
54.73333359,-2.549999952,272.8166809,4058.276579363767,-4.612807751,-0.8047266006,19.23679733
38.40000153,-0.9166666865,282.7000122,4058.286579379979,-3.084785223,-1.187929749,19.46612167
34.71666718,0.6833333373,294.1833191,4058.296579396191,-1.599873066,-5.422324657,19.46612167
30.53333282,4.516666889,290.1166687,4058.306579412403,-2.040556669,-4.172124386,19.46612167
26.68333244,9.033333778,292.4500122,4058.3165794286156,-3.372187614,-0.4311035275,19.46612167
17.01666641,19.04999924,291.25,4058.326579444828,-1.278940439,-1.020278335,19.46612167
15.05000019,23.95000076,287.5499878,4058.33657946104,-1.044228554,-0.9244775772,19.46612167
14.39999962,25.86666679,281.0666809,4058.3465794772524,0.1293310672,-2.792593002,19.46612167
15.03333378,22.43333244,281.0666809,4058.3565794934643,1.470542073,-4.038002968,19.46612167
14.38333321,21.10000038,276.6833191,4058.3665795096767,2.179467916,-3.602109432,19.46612167
15.55000019,28.18333244,265.2666626,4058.376579525889,-1.278940439,0.7807763815,19.46612167
15.78333378,25.95000076,261.1333313,4058.386579542101,-5.010381222,0.9963281751,19.46612167
16.13333321,24.93333244,261.2166748,4058.3965795583135,-3.262016773,0.2107617259,19.46612167
20.20000076,25.04999924,264.8500061,4058.4065795745255,-1.254990339,-1.868115306,19.46612167
23.61666679,27.25,271.1333313,4058.416579590738,-1.403481483,-2.481240273,19.46612167
23.20000076,24.35000038,275.0,4058.4265796069503,0.6993457079,0.857417047,13.25882912
22.75,22.78333282,274.8333435,4058.4365796231623,-2.62015152,-2.294428825,18.32669067
24.51666641,16.51666641,277.0833435,4058.4465796393747,-4.172124386,-1.010698318,10.98355961
25.39999962,7.099999905,279.1666565,4058.4565796555867,-1.077758789,-4.368515968,19.33738899
26.10000038,3.25,277.1000061,4058.466579671799,-2.452500105,-6.725214958,19.46612167
23.26666641,1.466666698,280.5,4058.4765796880115,-3.937412262,-3.530258894,19.46612167
18.10000038,10.0666666,286.9333191,4058.4865797042235,-2.553090811,-0.4215234518,19.46612167
11.69999981,20.35000038,287.9333191,4058.496579720436,-4.588857651,0.6514453292,19.46612167
5.383333206,21.43333244,284.5833435,4058.506579736648,-4.94811058,-1.197509766,19.46612167
2.349999905,21.61666679,279.5499878,4058.5165797528603,-1.049018621,-3.779340982,19.46612167
2.0,19.23333359,279.3333435,4058.5265797690727,0.6993457079,-4.085903645,19.46612167
6.166666508,17.89999962,281.3666687,4058.5365797852846,0.9005273581,-3.760180712,19.46612167
13.46666622,10.11666679,279.1666565,4058.546579801497,-1.575922966,-0.3640429974,19.46612167
23.06666756,0.150000006,281.3666687,4058.5565798177095,-2.988984585,0.3209326267,19.46612167
23.70000076,-3.733333349,281.8333435,4058.5665798339214,0.9915381074,-2.759062529,19.46612167
23.10000038,-2.683333397,279.8333435,4058.576579850134,-1.053808689,-4.220024586,19.46612167
23.98333359,-1.816666722,282.6333313,4058.586579866346,-3.132685661,-2.308799028,19.46612167
22.33333397,-3.833333254,285.5666809,4058.596579882558,-1.963916063,-1.159189463,19.46612167
24.66666603,-4.266666889,287.3333435,4058.6065798987706,-4.97206068,0.6131250262,19.46612167
32.26666641,-2.716666698,286.9333191,4058.6165799149826,-5.005590916,-0.2107617259,19.46612167
34.20000076,0.06666667014,284.7333374,4058.626579931195,-1.547182679,-2.720742226,19.46612167
38.75,1.933333278,282.5833435,4058.636579947407,-1.254990339,-5.048701286,19.46612167
44.93333435,1.299999952,285.8999939,4058.6465799636194,-3.070415258,-5.077441692,19.46612167
39.18333435,-1.866666675,290.4833374,4058.656579979832,-1.642983437,-1.379531264,19.46612167
30.81666756,-6.066666603,293.0,4058.6665799960438,-3.156635761,0.7472461462,19.46612167
27.89999962,-4.5,297.3666687,4058.676580012256,-1.32205081,-1.954336047,19.46612167
28.51666641,-2.666666746,299.0833435,4058.686580028468,-1.446591854,-4.722978592,19.46612167
35.25,0.9499999881,298.4166565,4058.6965800446806,1.556762815,-4.042793274,19.46612167
42.23333359,7.983333111,293.1666565,4058.706580060893,0.7376660705,-2.596201181,19.46612167
42.54999924,13.3166666,288.9333191,4058.716580077105,-2.653681755,-2.150727749,19.46612167
39.61666489,16.36666679,288.3333435,4058.7265800933174,-2.725532293,-0.4694238603,19.46612167
35.34999847,17.79999924,289.6833191,4058.7365801095293,-0.3927832246,-3.137475729,19.46612167
32.01666641,17.46666718,291.9666748,4058.7465801257417,-1.88248539,-4.59364748,19.46612167
28.78333282,15.69999981,290.0,4058.756580141954,-3.482358456,-3.166215897,19.46612167
27.73333359,20.13333321,288.0,4058.766580158166,-3.04646492,-0.8478369713,19.46612167
21.54999924,18.78333282,285.7833252,4058.7765801743785,-6.064189911,1.374741316,19.46612167
16.68333244,13.98333359,285.6333313,4058.7865801905905,-4.052373409,-0.119750984,19.46612167
15.48333359,13.38333321,280.2666626,4058.796580206803,-1.642983437,-3.683540106,19.36133957
15.33333302,11.1833334,281.0499878,4058.8065802230153,-2.169887781,-3.755390882,19.46612167
20.39999962,9.316666603,283.8333435,4058.8165802392273,0.2203418016,-2.313588858,16.0753727
25.39999962,8.533333778,284.6333313,4058.8265802554397,0.546064496,-2.169887781,19.46612167
29.10000038,7.516666889,287.7166748,4058.836580271652,-1.815424919,-0.01916015707,19.46612167
31.29999924,9.116666794,290.4833374,4058.846580287864,-0.6945556998,-1.350791097,19.46612167
32.28333282,9.483333588,290.25,4058.8565803040765,-1.710044026,-5.21635294,19.46612167
35.95000076,9.199999809,287.8666687,4058.8665803202884,-1.350791097,-3.309917212,19.46612167
39.63333511,9.550000191,286.5833435,4058.876580336501,-1.403481483,-0.3161425889,19.46612167
